卡通,#genre#
日テレNEWS LIVE,https://www.youtube.com/watch?v=VDhPBOOSDlw
TBS NEWS DIG,https://www.youtube.com/watch?v=ohI356mwBp8
KansaiNews24,https://www.youtube.com/watch?v=sTAqx_1Yrww
メ～テレ NEWS LIVE 24,https://www.youtube.com/watch?v=-C6FE2m7kX8
北海道ニュース24,https://www.youtube.com/watch?v=d8CrKBU99Hg
広島ニュース24,https://www.youtube.com/watch?v=e2pgLUmaxGs

油管直播,#genre#
我們這一家,https://www.youtube.com/watch?v=UK81GCw1KE8
新哆啦A夢,https://www.youtube.com/watch?v=hpXMNZFjWr8

中華一番,https://www.youtube.com/watch?v=2FJcu6qsM2k
瑞芳九份,https://www.youtube.com/watch?v=XSD5ptYisw8
象山看台北,https://www.youtube.com/watch?v=z_fY1pj1VBw
金門建功嶼,https://www.youtube.com/watch?v=uh_yNAE01w8
高雄蓮池潭,https://www.youtube.com/watch?v=BnPoNatG-HE
彰化八卦山大佛,https://www.youtube.com/live/r6DAowF7iQY?si=Lk7J_2cyufoi8ndX

大陸尋奇24H,https://www.youtube.com/watch?v=h0mUy0edJK0
三國24H,https://www.youtube.com/watch?v=Njvo1ce2v90
水滸傳24H,https://www.youtube.com/watch?v=hP4sQJikwCk

本地4GTV,#genre#

AMC 電影台,http://192.168.1.2:5000/litv/4gtv-4gtv017
Arirang TV,http://192.168.1.2:5000/litv/4gtv-4gtv079
Bloomberg TV,http://192.168.1.2:5000/4gtv/283
CatchPlay 電影台,http://192.168.1.2:5000/litv/4gtv-4gtv076
CI 罪案偵查頻道,http://192.168.1.2:5000/4gtv/215
CinemaWorld,http://192.168.1.2:5000/4gtv/225
Classica 古典樂,http://192.168.1.2:5000/litv/4gtv-4gtv059
CNBC Asia 財經台,http://192.168.1.2:5000/4gtv/235
DreamWorks 夢工廠動畫,http://192.168.1.2:5000/4gtv/282
DW德國之聲,http://192.168.1.2:5000/4gtv/226
ELTA 生活旅遊,http://192.168.1.2:5000/4gtv/237
ELTA 娛樂台,http://192.168.1.2:5000/litv/4gtv-4gtv070
ELTV 生活英語,http://192.168.1.2:5000/litv/litv-longturn20
Fun 探索娛樂台,http://192.168.1.2:5000/4gtv/274
GINX Esports TV,http://192.168.1.2:5000/litv/4gtv-4gtv053
Global Trekker,http://192.168.1.2:5000/4gtv/252
History 歷史頻道,http://192.168.1.2:5000/4gtv/214
HITS 頻道,http://192.168.1.2:5000/4gtv/186
i-Fun 動漫台,http://192.168.1.2:5000/litv/litv-ftv15
Lifetime 娛樂頻道,http://192.168.1.2:5000/4gtv/217
LiveABC 互動英語台,http://192.168.1.2:5000/4gtv/188
Love Nature,http://192.168.1.2:5000/4gtv/139
LUXE TV,http://192.168.1.2:5000/4gtv/175
Mezzo Live,http://192.168.1.2:5000/litv/4gtv-4gtv083
MOMO 親子台,http://192.168.1.2:5000/4gtv/231
MTV Live HD 音樂頻道,http://192.168.1.2:5000/4gtv/213
My Cinema Europe HD 我的歐洲電影,http://192.168.1.2:5000/4gtv/176
Nick Jr. 兒童頻道,http://192.168.1.2:5000/4gtv/219
Nickelodeon,http://192.168.1.2:5000/4gtv/185
Pet Club TV,http://192.168.1.2:5000/4gtv/182
Rock Action,http://192.168.1.2:5000/4gtv/180
Rock Entertainment,http://192.168.1.2:5000/4gtv/275
SBN 全球財經台,http://192.168.1.2:5000/4gtv/224
Smart 知識台,http://192.168.1.2:5000/litv/litv-longturn19
TechStorm,http://192.168.1.2:5000/4gtv/181
Trace Urban,http://192.168.1.2:5000/litv/4gtv-4gtv082
TraceSports,http://192.168.1.2:5000/litv/4gtv-4gtv077
TV5MONDE Style,http://192.168.1.2:5000/4gtv/178
TVBS 台劇台,http://192.168.1.2:5000/4gtv/285
TVBS 新聞台,http://192.168.1.2:5000/litv/4gtv-4gtv072
TVBS 精采台,http://192.168.1.2:5000/litv/4gtv-4gtv067
TVBS 綜藝台,http://192.168.1.2:5000/4gtv/284
TVBS 歡樂台,http://192.168.1.2:5000/litv/4gtv-4gtv068
TVBS,http://192.168.1.2:5000/litv/4gtv-4gtv073
VOA 美國之音,http://192.168.1.2:5000/litv/litv-ftv03
人間衛視,http://192.168.1.2:5000/4gtv/210
八大精彩台,http://192.168.1.2:5000/litv/4gtv-4gtv034
八大綜藝台,http://192.168.1.2:5000/litv/4gtv-4gtv039
三立 iNEWS,http://192.168.1.2:5000/4gtv/229
三立綜合台,http://192.168.1.2:5000/4gtv/169
大愛電視,http://192.168.1.2:5000/4gtv/209
大愛電視2,http://192.168.1.2:5000/4gtv/230
中天亞洲台,http://192.168.1.2:5000/litv/4gtv-4gtv109
中天新聞台,http://192.168.1.2:5000/litv/4gtv-4gtv009
中視,http://192.168.1.2:5000/litv/4gtv-4gtv040
中視菁采台,http://192.168.1.2:5000/litv/4gtv-4gtv064
中視新聞台,http://192.168.1.2:5000/litv/4gtv-4gtv074
中視經典台,http://192.168.1.2:5000/litv/4gtv-4gtv080
公視戲劇台,http://192.168.1.2:5000/litv/4gtv-4gtv042
半島國際新聞台,http://192.168.1.2:5000/litv/litv-ftv10
台視,http://192.168.1.2:5000/litv/4gtv-4gtv066
台視財經台,http://192.168.1.2:5000/litv/4gtv-4gtv056
台視新聞台,http://192.168.1.2:5000/litv/4gtv-4gtv051
台灣戲劇台,http://192.168.1.2:5000/litv/litv-longturn22
民視,http://192.168.1.2:5000/litv/4gtv-4gtv002
民視台灣台,http://192.168.1.2:5000/litv/4gtv-4gtv001
民視旅遊台,http://192.168.1.2:5000/litv/litv-ftv07
民視第一台,http://192.168.1.2:5000/litv/4gtv-4gtv003
民視新聞台,http://192.168.1.2:5000/litv/litv-ftv13
民視綜藝台,http://192.168.1.2:5000/litv/4gtv-4gtv004
民視影劇台,http://192.168.1.2:5000/litv/litv-ftv09
好消息,http://192.168.1.2:5000/litv/litv-ftv16
好消息2台,http://192.168.1.2:5000/litv/litv-ftv17
車迷 TV,http://192.168.1.2:5000/4gtv/160
亞洲旅遊台,http://192.168.1.2:5000/litv/litv-longturn17
兒童卡通台,http://192.168.1.2:5000/4gtv/269
幸福空間居家台,http://192.168.1.2:5000/4gtv/168
東森財經新聞,http://192.168.1.2:5000/litv/4gtv-4gtv153
東森新聞,http://192.168.1.2:5000/litv/4gtv-4gtv152
東森購物一台,http://192.168.1.2:5000/4gtv/173
東森購物二台,http://192.168.1.2:5000/4gtv/174
東森購物三台,http://192.168.1.2:5000/4gtv/287
東森購物四台,http://192.168.1.2:5000/4gtv/286
花系列 經典劇場,http://192.168.1.2:5000/4gtv/279
采昌影劇台,http://192.168.1.2:5000/litv/4gtv-4gtv049
金光布袋戲,http://192.168.1.2:5000/4gtv/236
非凡商業台,http://192.168.1.2:5000/litv/4gtv-4gtv048
非凡新聞台,http://192.168.1.2:5000/litv/4gtv-4gtv010
客家電視台,http://192.168.1.2:5000/litv/4gtv-4gtv043
原住民族電視台,http://192.168.1.2:5000/4gtv/273
時尚運動X,http://192.168.1.2:5000/4gtv/277
國會頻道1,http://192.168.1.2:5000/litv/4gtv-4gtv084
國會頻道2,http://192.168.1.2:5000/litv/4gtv-4gtv085
第1商業台,http://192.168.1.2:5000/litv/4gtv-4gtv104
博斯高球二台,http://192.168.1.2:5000/litv/litv-longturn06
博斯高球台,http://192.168.1.2:5000/litv/litv-longturn05
博斯無限二台,http://192.168.1.2:5000/litv/litv-longturn13
博斯無限台,http://192.168.1.2:5000/litv/litv-longturn10
博斯運動一台,http://192.168.1.2:5000/litv/litv-longturn07
博斯運動二台,http://192.168.1.2:5000/litv/litv-longturn08
博斯網球台,http://192.168.1.2:5000/litv/litv-longturn09
博斯魅力台,http://192.168.1.2:5000/litv/litv-longturn04
智林體育台,http://192.168.1.2:5000/litv/4gtv-4gtv101
華視,http://192.168.1.2:5000/litv/4gtv-4gtv041
華視新聞,http://192.168.1.2:5000/litv/4gtv-4gtv052
視納華仁紀實頻道,http://192.168.1.2:5000/litv/4gtv-4gtv013
超人力霸王整套看,http://192.168.1.2:5000/4gtv/278
經典卡通台,http://192.168.1.2:5000/4gtv/202
經典電影台,http://192.168.1.2:5000/4gtv/201
達文西頻道,http://192.168.1.2:5000/litv/4gtv-4gtv018
電影免費看 2台,http://192.168.1.2:5000/4gtv/245
電影原聲台 CMusic,http://192.168.1.2:5000/4gtv/218
靖天日本台,http://192.168.1.2:5000/litv/4gtv-4gtv047
靖天卡通台,http://192.168.1.2:5000/litv/4gtv-4gtv044
靖天育樂台,http://192.168.1.2:5000/litv/4gtv-4gtv062
靖天映畫台,http://192.168.1.2:5000/litv/4gtv-4gtv055
靖天國際台,http://192.168.1.2:5000/litv/4gtv-4gtv063
靖天資訊台,http://192.168.1.2:5000/litv/4gtv-4gtv065
靖天電影台,http://192.168.1.2:5000/litv/4gtv-4gtv061
靖天綜合台,http://192.168.1.2:5000/litv/4gtv-4gtv046
靖天戲劇台,http://192.168.1.2:5000/litv/4gtv-4gtv058
靖天歡樂台,http://192.168.1.2:5000/litv/4gtv-4gtv054
靖洋卡通 Nice Bingo,http://192.168.1.2:5000/litv/4gtv-4gtv057
靖洋戲劇台,http://192.168.1.2:5000/litv/4gtv-4gtv045
滾動力 Rollor,http://192.168.1.2:5000/4gtv/249
精選動漫台,http://192.168.1.2:5000/4gtv/204
影迷數位紀實台,http://192.168.1.2:5000/4gtv/212
影迷數位電影台,http://192.168.1.2:5000/litv/4gtv-4gtv011
豬哥亮歌廳秀,http://192.168.1.2:5000/litv/4gtv-4gtv006
寰宇財經台,http://192.168.1.2:5000/litv/litv-longturn23
寰宇新聞台,http://192.168.1.2:5000/litv/litv-longturn14
寰宇新聞台灣台,http://192.168.1.2:5000/litv/litv-longturn15
龍華日韓台,http://192.168.1.2:5000/litv/litv-longturn11
龍華卡通台,http://192.168.1.2:5000/litv/litv-longturn01
龍華偶像台,http://192.168.1.2:5000/litv/litv-longturn12
龍華經典台,http://192.168.1.2:5000/litv/litv-longturn21
龍華電影台,http://192.168.1.2:5000/litv/litv-longturn03
龍華戲劇台,http://192.168.1.2:5000/litv/litv-longturn18
戲劇免費看 1台,http://192.168.1.2:5000/4gtv/270
戲劇免費看 2台,http://192.168.1.2:5000/4gtv/244
韓國娛樂台,http://192.168.1.2:5000/litv/4gtv-4gtv016
鏡電視新聞台,http://192.168.1.2:5000/litv/4gtv-4gtv075
霹靂布袋戲,http://192.168.1.2:5000/4gtv/301

本地央視,#genre#
純享4K,http://192.168.1.2:5000/itv/ystenlive/1000000004000011651

CCTV 1綜合,http://192.168.1.2:5000/itv/wasusyt/6000000001000029752
CCTV 1 50 FPS,http://192.168.1.2:5000/itv/bestzb/5000000004000002226
CCTV 1 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265001
CCTV 2財經,http://192.168.1.2:5000/itv/ystenlive/1000000001000023315
CCTV 2 50 FPS,http://192.168.1.2:5000/itv/wasusyt/6000000001000014161
CCTV 2 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000001000023315
CCTV 3綜藝,http://192.168.1.2:5000/itv/wasusyt/6000000001000022313
CCTV 3 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265003
CCTV 4 50 FPS,http://192.168.1.2:5000/itv/bestzb/5000000011000031102
CCTV 4 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265004
CCTV 5,http://192.168.1.2:5000/itv/ystenlive/1000000005000025222
CCTV 5 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265005
CCTV 5+,http://192.168.1.2:5000/itv/wasusyt/6000000001000015875
CCTV 5+ HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265016
CCTV 6電影,http://192.168.1.2:5000/itv/ystenlive/1000000001000001737
CCTV 6 50 FPS,http://192.168.1.2:5000/itv/wasusyt/6000000001000004574
CCTV 6 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265006
CCTV 7國防軍事,http://192.168.1.2:5000/itv/ystenlive/1000000001000024341
CCTV 7 50 FPS,http://192.168.1.2:5000/itv/wasusyt/6000000001000009055
CCTV 7 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265007
CCTV 8電視劇,http://192.168.1.2:5000/itv/wasusyt/6000000001000001070
CCTV 8 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265008
CCTV 9紀錄,http://192.168.1.2:5000/itv/ystenlive/1000000001000014583
CCTV 9 50 FPS,http://192.168.1.2:5000/itv/wasusyt/6000000001000032162
CCTV 9 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265009
CCTV 10科教,http://192.168.1.2:5000/itv/ystenlive/1000000001000023734
CCTV 10 50 FPS,http://192.168.1.2:5000/itv/bestzb/5000000004000012827
CCTV 10 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265010
CCTV 11 50 FPS,http://192.168.1.2:5000/itv/bestzb/5000000011000031106
CCTV 11 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265011
CCTV 12,http://192.168.1.2:5000/itv/ystenlive/1000000001000032494
CCTV 12 50 FPS,http://192.168.1.2:5000/itv/wasusyt/6000000001000022586
CCTV 12 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265012
CCTV 13新聞 50 FPS,http://192.168.1.2:5000/itv/bestzb/5000000011000031108
CCTV 14,http://192.168.1.2:5000/itv/ystenlive/1000000001000008170
CCTV 14 50 FPS,http://192.168.1.2:5000/itv/bestzb/5000000004000006673
CCTV 14 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265013
CCTV 15 50 FPS,http://192.168.1.2:5000/itv/bestzb/5000000011000031109
CCTV 15 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265014
CCTV 16,http://192.168.1.2:5000/itv/ystenlive/1000000006000233002
CCTV 16 4K HEVC,http://192.168.1.2:5000/itv/bestzb/5000000008000023254
CCTV 17,http://192.168.1.2:5000/itv/ystenlive/1000000006000268004
CCTV 17 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265015
北京紀實科教,http://192.168.1.2:5000/itv/ystenlive/1000000001000001910
北京紀實科教 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265020
湖南金鹰紀實,http://192.168.1.2:5000/itv/bestzb/5000000011000031203
上海紀實人文 50 FPS,http://192.168.1.2:5000/itv/bestzb/5000000004000010282
上海紀實人文 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265021
求索動物,http://192.168.1.2:5000/itv/wasusyt/6000000002000010046
求索紀錄,http://192.168.1.2:5000/itv/wasusyt/6000000002000032052
求索科學,http://192.168.1.2:5000/itv/wasusyt/6000000002000032344
求索生活,http://192.168.1.2:5000/itv/wasusyt/6000000002000003382

本地衛視,#genre#
江蘇衛視 50 FPS,http://192.168.1.2:5000/itv/wasusyt/6000000001000014861
江蘇衛視,http://192.168.1.2:5000/itv/ystenlive/1000000001000001828
江蘇衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265030
浙江衛視 50 FPS,http://192.168.1.2:5000/itv/bestzb/5000000004000007275
浙江衛視,http://192.168.1.2:5000/itv/ystenlive/1000000001000014260
浙江衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265031
湖南衛視,http://192.168.1.2:5000/itv/bestzb/5000000004000006692
湖南衛視 50 FPS,http://192.168.1.2:5000/itv/wasusyt/6000000001000018044
湖南衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265024
北京衛視,http://192.168.1.2:5000/itv/wasusyt/6000000001000020451
北京衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265027
東方衛視,http://192.168.1.2:5000/itv/wasusyt/6000000001000003639
東方衛視 50 FPS,http://192.168.1.2:5000/itv/bestzb/5000000004000014098
東方衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265018
安徽衛視,http://192.168.1.2:5000/itv/ystenlive/1000000001000030159
安徽衛視 50 FPS,http://192.168.1.2:5000/itv/wasusyt/6000000001000009954
安徽衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265025
東南衛視,http://192.168.1.2:5000/itv/bestzb/5000000004000010584
東南衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265033
甘肅衛視,http://192.168.1.2:5000/itv/bestzb/5000000011000031121
廣東衛視,http://192.168.1.2:5000/itv/ystenlive/1000000001000014176
廣東衛視 50 FPS,http://192.168.1.2:5000/itv/wasusyt/6000000001000031076
廣東衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265034
廣西衛視,http://192.168.1.2:5000/itv/bestzb/5000000011000031118
貴州衛視,http://192.168.1.2:5000/itv/bestzb/5000000004000025843
海南衛視,http://192.168.1.2:5000/itv/bestzb/5000000004000006211
河北衛視,http://192.168.1.2:5000/itv/bestzb/5000000006000040016
河南衛視,http://192.168.1.2:5000/itv/bestzb/5000000011000031119
湖北衛視,http://192.168.1.2:5000/itv/ystenlive/1000000001000024621
湖北衛視 50 FPS,http://192.168.1.2:5000/itv/wasusyt/6000000001000015436
湖北衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265023
吉林衛視,http://192.168.1.2:5000/itv/bestzb/5000000011000031117
江西衛視,http://192.168.1.2:5000/itv/ystenlive/1000000006000268001
江西衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265032
遼寧衛視,http://192.168.1.2:5000/itv/bestzb/5000000004000011671
遼寧衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265022
青海衛視,http://192.168.1.2:5000/itv/ystenlive/1000000002000013359
山東衛視,http://192.168.1.2:5000/itv/ystenlive/1000000001000016568
山東衛視 50 FPS,http://192.168.1.2:5000/itv/wasusyt/6000000001000004134
山東衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265019
深圳衛視,http://192.168.1.2:5000/itv/bestzb/5000000004000007410
深圳衛視 50 FPS,http://192.168.1.2:5000/itv/wasusyt/6000000001000002116
深圳衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265028
四川衛視,http://192.168.1.2:5000/itv/bestzb/5000000004000006119
天津衛視,http://192.168.1.2:5000/itv/bestzb/5000000004000006827
天津衛視 50 FPS,http://192.168.1.2:5000/itv/wasusyt/6000000001000009186
天津衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265026
雲南衛視,http://192.168.1.2:5000/itv/bestzb/5000000011000031120
重慶衛視,http://192.168.1.2:5000/itv/ystenlive/1000000001000001096
重慶衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265017
黑龍江衛視,http://192.168.1.2:5000/itv/ystenlive/1000000001000001925
黑龍江衛視 50 FPS,http://192.168.1.2:5000/itv/wasusyt/6000000001000016510
黑龍江衛視 HEVC,http://192.168.1.2:5000/itv/ystenlive/1000000005000265029
