卡通旅遊,#genre#
513  加油喜事-FastTV飛速看,https://www.4gtv.tv/channel/fast-live013?set=1&ch=384
514  去有風的地方-FastTV飛速看,https://www.4gtv.tv/channel/fast-live014?set=1&ch=386
515  多情城市-FastTV飛速看,https://www.4gtv.tv/channel/fast-live015?set=1&ch=389
516  黃金歲月-FastTV飛速看,https://www.4gtv.tv/channel/fast-live016?set=1&ch=392
517  花千骨-FastTV飛速看,https://www.4gtv.tv/channel/fast-live017?set=1&ch=397
518  別打擾我種田-FastTV飛速看,https://www.4gtv.tv/channel/fast-live018?set=1&ch=398
519  5566偶像劇-FastTV飛速看,https://www.4gtv.tv/channel/fast-live019?set=1&ch=399
520  不敗愛情偶像劇-FastTV飛速看,https://www.4gtv.tv/channel/fast-live020?set=1&ch=401
521  國外電影精選-FastTV飛速看,https://www.4gtv.tv/channel/fast-live021?set=1&ch=414
522  日韓電影大賞-FastTV飛速看,https://www.4gtv.tv/channel/fast-live022?set=1&ch=415
523  大愛精選-FastTV飛速看,https://www.4gtv.tv/channel/fast-live023?set=1&ch=416
524  飛龍在天-FastTV飛速看,https://www.4gtv.tv/channel/fast-live024?set=1&ch=417
525  女士的品格-FastTV飛速看,https://www.4gtv.tv/channel/fast-live025?set=1&ch=418
526  台灣傳奇-FastTV飛速看,https://www.4gtv.tv/channel/fast-live026?set=1&ch=419
527  小資女孩向前衝-FastTV飛速看,https://www.4gtv.tv/channel/fast-live027?set=1&ch=420
528  世間路-FastTV飛速看,https://www.4gtv.tv/channel/fast-live028?set=1&ch=421
529  恐怖電影-FastTV飛速看,https://www.4gtv.tv/channel/fast-live029?set=1&ch=422
530  古裝武俠劇-FastTV飛速看,https://www.4gtv.tv/channel/fast-live030?set=1&ch=423
531  以愛為營-FastTV飛速看,https://www.4gtv.tv/channel/fast-live031?set=1&ch=424
532  藍色水玲瓏-FastTV飛速看,https://www.4gtv.tv/channel/fast-live032?set=1&ch=425
533  精彩陸劇-FastTV飛速看,https://www.4gtv.tv/channel/fast-live033?set=1&ch=426
534  包青天-FastTV飛速看,https://www.4gtv.tv/channel/fast-live034?set=1&ch=427
535  007情報員-FastTV飛速看,https://www.4gtv.tv/channel/fast-live035?set=1&ch=439
701  天才衝衝衝-FastTV飛速看,https://www.4gtv.tv/channel/fast-live201?set=1&ch=343
702  一字千金-FastTV飛速看,https://www.4gtv.tv/channel/fast-live202?set=1&ch=344
703  綜藝大集合-FastTV飛速看,https://www.4gtv.tv/channel/fast-live203?set=1&ch=345
704  女人我最大-FastTV飛速看,https://www.4gtv.tv/channel/fast-live204?set=1&ch=347
705  食尚玩家-FastTV飛速看,https://www.4gtv.tv/channel/fast-live205?set=1&ch=348
706  11點熱吵店-FastTV飛速看,https://www.4gtv.tv/channel/fast-live206?set=1&ch=349
707  WTO姐妹會-FastTV飛速看,https://www.4gtv.tv/channel/fast-live207?set=1&ch=350
708  威廉沈歡樂送-FastTV飛速看,https://www.4gtv.tv/channel/fast-live208?set=1&ch=435
709  全家有智慧-FastTV飛速看,https://www.4gtv.tv/channel/fast-live209?set=1&ch=375
710  少康戰情室-FastTV飛速看,https://www.4gtv.tv/channel/fast-live210?set=1&ch=376
711  姊妹亮起來-FastTV飛速看,https://www.4gtv.tv/channel/fast-live211?set=1&ch=377
712  娛樂百分百-FastTV飛速看,https://www.4gtv.tv/channel/fast-live212?set=1&ch=378
713  超級冰冰Show-FastTV飛速看,https://www.4gtv.tv/channel/fast-live213?set=1&ch=379
714  豬哥會社-FastTV飛速看,https://www.4gtv.tv/channel/fast-live214?set=1&ch=380
715  過年特輯民視第一發發發-FastTV飛速看,https://www.4gtv.tv/channel/fast-live215?set=1&ch=381
716  全能歌手-FastTV飛速看,https://www.4gtv.tv/channel/fast-live216?set=1&ch=385
717  上奅台灣歌-FastTV飛速看,https://www.4gtv.tv/channel/fast-live217?set=1&ch=387
718  鬥陣大廟埕-FastTV飛速看,https://www.4gtv.tv/channel/fast-live218?set=1&ch=388
719  我的成長-FastTV飛速看,https://www.4gtv.tv/channel/fast-live219?set=1&ch=390
720  健康2.0-FastTV飛速看,https://www.4gtv.tv/channel/fast-live220?set=1&ch=391
721  律由經-FastTV飛速看,https://www.4gtv.tv/channel/fast-live221?set=1&ch=393
722  TVBS看板人物-FastTV飛速看,https://www.4gtv.tv/channel/fast-live222?set=1&ch=394
723  野蠻遊戲：We Play -FastTV飛速看,https://www.4gtv.tv/channel/fast-live223?set=1&ch=395
724  最愛韓星-FastTV飛速看,https://www.4gtv.tv/channel/fast-live224?set=1&ch=396
725  美食+-x廚-FastTV飛速看,https://www.4gtv.tv/channel/fast-live225?set=1&ch=400
726  廚神明星秀-FastTV飛速看,https://www.4gtv.tv/channel/fast-live226?set=1&ch=402
727  浩克慢遊-FastTV飛速看,https://www.4gtv.tv/channel/fast-live227?set=1&ch=403
728  環遊世界800天 -FastTV飛速看,https://www.4gtv.tv/channel/fast-live228?set=1&ch=413
729  娛樂超skr-FastTV飛速看,https://www.4gtv.tv/channel/fast-live229?set=1&ch=428
730  綜藝新時代-FastTV飛速看,https://www.4gtv.tv/channel/fast-live230?set=1&ch=429
731  幸福保衛戰-FastTV飛速看,https://www.4gtv.tv/channel/fast-live231?set=1&ch=430
732  同學！搞什麼鬼-FastTV飛速看,https://www.4gtv.tv/channel/fast-live232?set=1&ch=431
733  爸媽囧很大-FastTV飛速看,https://www.4gtv.tv/channel/fast-live233?set=1&ch=432
734  醫學大聯盟-FastTV飛速看,https://www.4gtv.tv/channel/fast-live234?set=1&ch=433
735  GoGoTaiwan-FastTV飛速看,https://www.4gtv.tv/channel/fast-live235?set=1&ch=434
736  新春歡樂不斷電-FastTV飛速看,https://www.4gtv.tv/channel/fast-live236?set=1&ch=440
737  新年蛇麼攏賀-FastTV飛速看,https://www.4gtv.tv/channel/fast-live237?set=1&ch=441
901  霹靂布袋戲-FastTV飛速看,https://www.4gtv.tv/channel/fast-live401?set=1&ch=338
902  金光布袋戲-FastTV飛速看,https://www.4gtv.tv/channel/fast-live402?set=1&ch=339
903  超人力霸王《TV版》FastTV飛速看,https://www.4gtv.tv/channel/fast-live403?set=1&ch=318
904  超人力霸王《劇場版》FastTV飛速看,https://www.4gtv.tv/channel/fast-live404?set=1&ch=325
905  哆啦A夢-FastTV飛速看,https://www.4gtv.tv/channel/fast-live405?set=1&ch=331
906  經典卡通-FastTV飛速看,https://www.4gtv.tv/channel/fast-live406?set=1&ch=332
907  免費精選動畫-FastTV飛速看,https://www.4gtv.tv/channel/fast-live407?set=1&ch=437
908  經典迪士尼-FastTV飛速看,https://www.4gtv.tv/channel/fast-live408?set=1&ch=340
909  免費兒童卡通-FastTV飛速看,https://www.4gtv.tv/channel/fast-live409?set=1&ch=334
910  FOOD超人-FastTV飛速看,https://www.4gtv.tv/channel/fast-live410?set=1&ch=327
911  小兒子-FastTV飛速看,https://www.4gtv.tv/channel/fast-live411?set=1&ch=336
912  親子一起看-FastTV飛速看,https://www.4gtv.tv/channel/fast-live412?set=1&ch=436
913  怪獸之王-FastTV飛速看,https://www.4gtv.tv/channel/fast-live413?set=1&ch=438

牛視網,#genre#
parse=1
東森幼幼,https://www.chaojidianshi.net/zhibo/gangtaizhibo/dongsenyouyouYoyoTV.html
東森洋片,https://www.chaojidianshi.net/zhibo/gangtaizhibo/dongsenyangpianETTVWestern.html
好萊塢電影,https://www.chaojidianshi.net/zhibo/gangtaizhibo/HollywoodMovies.html

HBO HD,https://www.chaojidianshi.net/zhibo/490570.html
HBO強檔,https://www.chaojidianshi.net/zhibo/490571.html
HBO獨創,https://www.chaojidianshi.net/zhibo/490572.html
HBO家庭,https://www.chaojidianshi.net/zhibo/490569.html

緯來日本,https://www.chaojidianshi.net/zhibo/gangtaizhibo/weilairibentai.html
緯來電影,https://www.chaojidianshi.net/zhibo/gangtaizhibo/weilaidianyingtai.html
緯來體育,https://www.chaojidianshi.net/zhibo/gangtaizhibo/weilaitiyutai.html

八大戲劇台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/badaxijuGTVDrama.html
八大綜合台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/badazongheGTVMetro.html
八大第一台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/badadiyiGTVFirst.html

愛爾達影劇,https://www.chaojidianshi.net/zhibo/gangtaizhibo/aierdayingju.html
愛爾達綜合,https://www.chaojidianshi.net/zhibo/gangtaizhibo/aierdazonghetai.html

EYETV戲劇,https://www.chaojidianshi.net/zhibo/gangtaizhibo/EYETVxiju.html
EYETV旅遊,https://www.chaojidianshi.net/zhibo/gangtaizhibo/EYETVl%C3%BCyou.html
龍華洋片,https://www.chaojidianshi.net/zhibo/gangtaizhibo/longhuayangpianLunghuaWestern.html

東森新聞,https://www.chaojidianshi.net/zhibo/33.html
東森戲劇,https://www.chaojidianshi.net/zhibo/gangtaizhibo/dongsenxijuETTVDrama.html
東森綜合,https://www.chaojidianshi.net/zhibo/gangtaizhibo/dongsenzongheETTVMetro.html
東森電影,https://www.chaojidianshi.net/zhibo/gangtaizhibo/dongsendianyingETTVMovie.html

三立都會台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/sanlidouhuitai.html
三立綜合台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/sanlizongheSanliMetro.html
三立戲劇台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/sanlixijutai.html
三立台灣台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/sanlitaiwanSanliTaiwan.html

CatchPlay電影台https://www.chaojidianshi.net/zhibo/gangtaizhibo/CatchPlaydianyingtai.html
CINEMAX電影台,https://www.chaojidianshi.net/zhibo/gangtaizhibo/CINEMAX.html

愛爾達1台,https://www.chaojidianshi.net/zhibo/tiyuzhibo/aierdatiyu1tai.html
愛爾達2台,https://www.chaojidianshi.net/zhibo/tiyuzhibo/aierdatiyu2tai.html

華視,https://www.chaojidianshi.net/zhibo/gangtaizhibo/huashiCTS.html
中視,https://www.chaojidianshi.net/zhibo/gangtaizhibo/zhongshi.html
台視,https://www.chaojidianshi.net/zhibo/gangtaizhibo/taishiTTV.html
