litv频道,#genre# 
靖天映畫台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv055	
靖天國際台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv063	
靖天資訊台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv065	
靖天電影台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv061	
靖天綜合台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv046	
靖天戲劇台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv058	
靖天歡樂台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv054	
靖洋卡通台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv057	
靖洋戲劇台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv045	
影迷數位紀實台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-ftv15	
影迷數位電影台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv011	
豬哥亮歌廳秀,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv006	
寰宇財經台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv158	
寰宇新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn14	
寰宇新聞台灣台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv156	
龍華日韓台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn11	
龍華卡通台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn01	
龍華洋片台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn02	
龍華偶像台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn12	
龍華經典台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn21	
龍華電影台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn03	
龍華戲劇台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn18	
鏡電視新聞台,http://xg.52sw.top/play/4gtv/dxlitv.php?id=4gtv-4gtv075
